2007;3;3.5;6;272;2;2;5.6;250;350;1390;208;70;409;179;130;243;6
1999;7;4.2;8;405;2;2;4.6;250;522;1769;329;68;428;183;125;276;4
1999;7;5.7;8;350;2;2;4.7;280;475;1460;355;72;456;187;121;266;6
1965;6;7;8;345;5;2;8;185;603;1831;289;76;528;194;135;298;3
2005;7;4.4;8;333;4;2;6.1;250;450;1815;300;70;482;186;137;278;6
2018;3;2;4;230;5;5;6.4;250;350;1289;380;50;436;180;148;263;6
2008;7;4.7;8;450;2;2;4;306;480;1585;90;88;438;189;134;264;6
2017;7;6.2;8;466;2;2;4.2;290;630;1588;287;70;451;197;124;271;7
2018;7;1.5;3;374;4;2;4.4;255;570;1535;154;30;469;194;129;280;6
2011;4;3.2;6;265;4;2;6.4;250;330;1575;455;64;463;185;137;275;6
2015;4;5;8;426;4;2;4.8;260;529;1681;382;60;478;192;138;272;6
2011;3;2.5;4;300;5;4;5.2;250;407;1505;445;60;458;180;148;263;6
2017;4;5;8;467;4;2;4.5;270;527;1795;286;66;471;185;139;273;8
2005;7;6.2;12;580;2;2;3.9;330;650;1650;140;100;458;205;114;267;6
2014;7;4.4;8;500;2;2;3.6;283;480;1150;0;55;440;201;121;251;6
2020;7;4;8;585;2;2;3.6;318;700;1555;175;65;455;208;128;263;7
2014;7;6.5;12;750;2;2;2.9;335;690;1490;60;90;502;208;117;270;7
2008;7;3.4;6;295;2;2;5.4;275;340;1350;260;64;434;180;131;242;6
2017;7;8;16;1500;2;2;2.5;420;1600;1995;37;100;454;204;121;271;7
2014;7;4.7;8;460;4;2;4.5;303;460;1800;260;90;493;192;134;294;6
2003;7;1.8;4;160;2;2;5.1;212;175;805;115;38;379;172;114;230;5
2023;5;4;8;600;5;5;3.6;305;800;2065;535;73;501;195;142;293;8
2017;7;4.4;8;580;2;2;4.2;280;510;1300;0;120;494;205;121;291;6
2012;7;6;12;626;4;2;4.2;331;820;2320;358;90;481;194;139;275;8
2015;3;1.8;4;235;5;5;6.8;242;300;1365;350;60;435;180;147;263;6
2005;3;3;6;231;2;2;5.9;244;300;1365;300;55;409;178;130;250;6
1964;4;4.7;8;271;4;2;8.1;202;423;1116;241;60;461;173;130;274;4
2009;7;8.4;10;600;2;2;3.9;325;760;1560;240;70;446;191;121;251;6
2018;7;4.4;8;560;4;2;4.2;322;680;1850;460;80;490;190;137;285;7
2007;7;3.4;6;295;2;2;5.4;272;340;1355;130;64;433;180;129;242;6
2009;3;2;4;210;4;2;7.8;236;280;1497;205;55;441;179;144;259;6
1988;7;2.8;6;450;4;2;3.9;315;500;1450;220;84;426;184;128;230;6
1967;4;5.3;8;258;4;2;6.4;193;452;1474;235;70;480;184;131;275;4
1957;7;4.6;8;274;2;2;8;190;393;1292;339;90;450;185;132;259;4
1963;7;3;12;300;2;2;6.2;265;343;1000;246;133;441;168;124;240;5
1991;7;3.4;8;300;2;2;5.6;275;324;1393;200;95;423;189;117;245;5
2019;4;4;8;500;2;2;2.8;300;500;1120;0;121;500;196;114;274;6
2007;3;2.5;5;225;5;3;6.8;241;320;1392;385;55;436;184;145;264;6
1969;4;2.3;6;125;4;2;10;186;176;931;260;58;426;165;128;256;4
1993;7;3.5;6;542;2;2;3.8;342;640;1350;110;120;493;200;115;264;5
1963;4;2.3;6;150;2;2;9.7;200;196;1295;340;65;429;176;129;240;5
1994;3;1.6;4;160;5;3;7.3;215;150;1080;190;45;408;170;135;257;5
1983;7;4.8;12;375;2;2;5.1;298;410;1480;240;120;414;200;107;245;5
2017;5;4;8;560;5;5;3.9;305;700;1950;565;65;498;194;146;292;8
1996;7;4.7;12;520;2;2;3.9;325;471;1230;57;105;448;199;112;258;6
2013;7;3.4;8;767;2;2;3;322;1280;1490;110;70;464;194;117;273;7
2012;7;5.2;10;570;2;2;3.4;320;540;1430;110;70;439;190;117;256;6
2003;7;2;4;240;2;2;6.2;240;208;1270;143;50;414;175;127;240;6
2023;7;4;8;720;2;2;2.9;341;770;1419;360;72;354;193;120;267;7
2019;7;4;8;522;2;2;3.8;310;670;1570;285;65;454;207;129;263;7
2018;7;3.9;8;670;2;2;3;325;760;1420;230;78;457;195;121;265;7
2017;7;3.8;6;570;4;2;2.8;315;637;1752;315;74;471;190;137;278;6
2023;7;5.2;12;725;4;2;3.4;340;900;1693;186;78;471;194;128;281;8
2013;5;3;6;310;5;5;5.6;275;440;1785;535;65;497;191;142;291;7
2002;7;1.8;4;192;4;2;7.4;225;180;1215;365;55;434;174;132;260;6
2013;3;2;4;210;4;3;6.9;240;280;1298;312;55;426;181;140;258;6
2019;7;3;6;591;4;2;4.1;259;500;1540;0;51;438;185;129;247;6
1993;7;4.9;12;426;2;2;4.8;314;491;1590;249;100;448;198;114;255;5
2012;7;4;8;480;2;2;3;300;500;1100;0;120;478;195;120;275;6
2018;7;1.7;4;240;2;2;3.5;258;350;1118;105;40;399;187;118;238;6
2010;7;5.2;10;560;2;2;3.7;325;540;1520;110;90;435;190;117;256;6
2004;3;2;4;280;5;4;5.9;250;383;1320;430;55;449;177;145;263;6
2022;3;4;8;510;2;2;3.6;314;685;1530;350;73;447;194;127;270;8
2010;5;4.2;8;298;4;2;6.2;250;411;1645;300;71;479;189;132;275;6
2010;4;5;8;412;4;2;4.5;250;529;1635;379;61;478;188;142;272;6
2010;7;4.2;8;650;2;2;3;370;850;1468;100;120;446;200;111;270;6
1996;7;5.5;12;442;4;2;5.2;302;550;1690;316;110;473;192;130;260;6
2016;3;2;4;230;4;2;5.3;250;370;1335;305;55;418;183;135;251;6
2016;7;5.5;8;491;2;2;3.2;295;658;1110;0;85;450;205;115;271;6
2004;6;4.6;8;232;6;4;7.9;200;389;1905;583;72;539;199;144;291;4
2006;3;2;4;150;5;5;8.7;217;200;1260;330;50;423;175;143;266;6
2005;4;4.9;8;400;2;2;4.7;250;500;1660;203;73;440;183;132;251;6
2004;5;4.2;8;298;4;2;6.6;250;411;1775;307;75;476;183;131;259;6
2004;4;3;6;220;5;4;6.9;245;300;1425;445;70;455;177;143;265;5
1967;1;1.3;4;76;4;3;12;154;107;655;165;50;305;140;135;204;4
1965;7;1.6;5;116;2;2;9;177;146;680;185;46;368;142;116;213;4
1982;4;2;4;97;5;4;15;155;149;1270;395;60;482;172;143;265;4
2020;3;2;4;320;4;5;5.8;272;400;1305;420;46;456;188;143;270;6
2005;7;5;10;500;2;2;4.2;309;510;1612;110;90;430;190;117;256;6
2022;3;3;6;340;2;2;4.5;268;500;1535;281;52;432;186;130;247;8
2017;5;4.4;8;462;5;4;4;261;650;1810;530;68;496;187;147;298;8
2021;7;6.5;12;770;2;2;2.8;350;720;1525;140;85;494;210;114;270;7
2010;7;6.5;12;670;2;2;3.4;338;660;1830;140;100;461;206;114;267;6
2014;4;6.2;8;426;4;2;4.6;290;569;1773;320;72;484;192;138;285;6
2020;4;4;8;510;4;2;3.9;290;700;1745;355;61;475;188;140;284;9
2008;7;5.4;8;626;2;2;3.8;332;780;1750;204;97;466;191;128;270;5
1999;7;6;12;530;2;2;3.9;320;605;1575;140;100;447;204;112;265;5
2009;7;6.5;12;640;2;2;3.4;340;660;1665;140;100;470;206;114;267;6
